Company,Post,Location,Stipend,Experience
Fighterhero,Operations Associate,Bangalore,280000.0,1 year(s)
zFrames Media,Video Editor,Lucknow,200000.0,0 year(s)
Techior,Business Development Executive,Nagpur,200000.0,1 year(s)
SAAR Advertising And Marketing,Web Developer,Dehradun,200000.0,1 year(s)
Unwyre Solutions,Creative Product Designer,Vadodara,200000.0,0 year(s)
Orical Technology LLP,Telesales Executive,Ahmedabad,203000.0,0 year(s)
Mega Sublimation,Graphic Designer,Hyderabad,200000.0,1 year(s)
ASAR & SONS IMPEX LLP,Administration Assistant,Hyderabad,234000.0,0 year(s)
ASAR & SONS IMPEX LLP,Data Entry Associate,Hyderabad,216000.0,0 year(s)
AuraKomms Media Pictures Private Limited,Client Service Executive,Mumbai,216000.0,0 year(s)
AK HEALTH TECH PRIVATE LIMITED,Data Entry Executive,"Chennai, Bangalore",222000.0,0 year(s)
Internshala,Corporate Sales Associate,Gurgaon,650000.0,1 year(s)
Relinns Technologies,Junior Content Writer,"Chandigarh, Mohali, Haryana, Uttar Pradesh, Himachal Pradesh",200000.0,1 year(s)
Aoratas Technica Engineering Private Limited,Nurse For CPR Training,Delhi,200000.0,1 year(s)
Thumb Stoppers,Associate Videographer,Mumbai,400000.0,1 year(s)
R&R Education Foundation,Academic Counselor,Delhi,200000.0,1 year(s)
Thumb Stoppers,Video Production Assistant,Mumbai,200000.0,0 year(s)
Thumb Stoppers,Scriptwriter,Mumbai,200000.0,0 year(s)
Relinns Technologies,Junior Search Engine Optimization (SEO) Specialist,"Chandigarh, Mohali, Uttar Pradesh, Uttarakhand, Himachal Pradesh",300000.0,1 year(s)
Graptive Design Private Limited,Senior Creative Designer,"Delhi, Ghaziabad, Noida",360000.0,1 year(s)
Gobind Coach Builders,Chief Financial Officer,Mohali,540000.0,1 year(s)
Curs,Corporate Sales Executive,Ahmedabad,200000.0,1 year(s)
Economics Classes,Junior Operations Executive,Delhi,240000.0,0 year(s)
CollegeTips Ed Tech Media Private Limited,Social Media Marketing Manager,Bhopal,300000.0,0 year(s)
CollegeTips Ed Tech Media Private Limited,Content Writer,Bhopal,200000.0,0 year(s)
Thumb Stoppers,Business Development Executive,Mumbai,200000.0,0 year(s)
CollegeTips Ed Tech Media Private Limited,Graphic Designer,Bhopal,300000.0,0 year(s)
CollegeTips Ed Tech Media Private Limited,Finance Executive,Bhopal,300000.0,0 year(s)
CollegeTips Ed Tech Media Private Limited,Human Resources (HR) Manager,Bhopal,300000.0,0 year(s)
Sangam Multiservices,Associate Video Editor,Mumbai,300000.0,1 year(s)
Unibots,PPC Specialist,Delhi,275000.0,0 year(s)
EVA2Z,Human Resources (HR) Associate,Noida,300000.0,0 year(s)
Trippy Tour Guide,Junior Content Writer,Kanpur Dehat,200000.0,1 year(s)
EVA2Z,Software Sales Consultant,Noida,300000.0,1 year(s)
Stashpro,Senior Graphic Designer,"Pune, Mumbai",340000.0,1 year(s)
Vibrant Publishers,Graphic Designer,Mumbai,200000.0,1 year(s)
Heterize Infotech Private Limited,E-Commerce Catalog Manager,Indore,200000.0,0 year(s)
The Leprosy Mission Trust India,Corporate Engagement Executive,"Noida, Bangalore",200000.0,0 year(s)
Bora Classes,Administration Executive,Pune,285000.0,1 year(s)
CanadaMentors,AI Automation Specialist,Work from home,300000.0,1 year(s)
IBV Technologies,Business Development Executive,Work from home,315000.0,0 year(s)
Zedex Info Private Limited,Junior Front End Developer,"Thane, Navi Mumbai, Mumbai",200000.0,0 year(s)
Netscribes (India) Private Limited,Customer Support Associate - Marathi (Seller Support),Work from home,200000.0,1 year(s)
Anagh Technology,Robotics Teacher,Surat,200000.0,0 year(s)
Secured Engineers Private Limited,DESIGN & ESTIMATION ENGINEER,Ludhiana,400000.0,1 year(s)
Rakesh Kumar Sharma & Consultants Private,Telecaller,"Delhi, Noida",200000.0,0 year(s)
Slay Pilates,Fashion Designer,Delhi,305000.0,0 year(s)
Sangam Multiservices,Digital Marketing Specialist,Mumbai,300000.0,1 year(s)
Mentors Educational Services Private Limited,Sales Executive,Delhi,800000.0,1 year(s)
Secured Engineers Private Limited,Accountant,Ludhiana,200000.0,1 year(s)
Secured Engineers Private Limited,Electrical Engineer,Ludhiana,200000.0,1 year(s)
Empor Marcom,Delegate Acquisition Specialist,Work from home,250000.0,0 year(s)
Harmanjeet Kaur,Associate Telecaller,Work from home,210000.0,0 year(s)
IBV Technologies,Human Resources (HR) Executive,Work from home,425000.0,1 year(s)
The Skillians,Senior Business Development Specialist,Gurgaon,240000.0,0 year(s)
Peore,Associate Supply Chain Manager (SCM),Gurgaon,300000.0,0 year(s)
Warewe Consultancy Private Limited,Data Analytics Specialist,Gurgaon,240000.0,1 year(s)
Everstylish Lifestyle Private Limited,Content Creator,Gurgaon,240000.0,1 year(s)
Trace World,Visa & Travel Consultant,Indore,200000.0,1 year(s)
TallyTech Solutions,Telesales Executive,Badarpur,220000.0,0 year(s)
The Future University,Tally Expert,"Chandigarh, Mohali",240000.0,1 year(s)
Axe Consultancy And Security Services LLC,Sales Executive – USA Calling,Dehradun,210000.0,0 year(s)
SkillGenic Academy,Human Resources (HR) Manager,Indore,400000.0,1 year(s)
Heterize Infotech Private Limited,Graphic Designer,Indore,200000.0,0 year(s)
ReNote AI Private Limited,Digital Marketing Executive (Content & Social Media),Hyderabad,240000.0,1 year(s)
ReNote AI Private Limited,Digital Marketing Executive (Creative & Visual Content),Hyderabad,240000.0,1 year(s)
ScanEra Digital Pvt Ltd,Business Development Manager,Mumbai,300000.0,1 year(s)
HINDUSTAN HARDWARE AND PLYWOODS,Accountant,Bangalore,222000.0,1 year(s)
Wayspire Ed-Tech Private Limited,Inside Sales Specialist,Gurgaon,315000.0,0 year(s)
HINDUSTAN HARDWARE AND PLYWOODS,Human Resources (HR) Specialist,Bangalore,240000.0,1 year(s)
MoLog Media & Advertising,Client Servicing Manager,"Ahmedabad, Gurgaon, Lucknow, Jaipur",400000.0,1 year(s)
Boomcast Media Network Private Limited,Business Development Executive,"Delhi, Noida",240000.0,1 year(s)
Dreamfoot,Business Development Executive,Vadodara,216000.0,1 year(s)
SVGH HEALTH CARE PVT LTD,Medical Representative,Indore,216000.0,1 year(s)
Rolliflex Cables Private Limited,Customer Service Executive,Mumbai,240000.0,1 year(s)
Techior,Business Development Executive,Nagpur,200000.0,1 year(s)
KanpurWants,Graphic Designer,Kanpur,275000.0,1 year(s)
Herbal Deck,Senior Graphic Designer,Indore,250000.0,1 year(s)
SR INTERIOR DESIGNS PRIVATE LIMITED,Senior Interior Designer,Ahmedabad,250000.0,1 year(s)
Prakash Khatri Dot Com,Human Resources (HR) Manager,"Gandhinagar, Modasa, Vijapur, Sabarkatha, Himmatnagar, Idar, Aravalli, Khedbrahma, Prantij",212000.0,1 year(s)
Amin Migration,Visa Counsellor,Ahmedabad,200000.0,1 year(s)
Anemative Private Limited,Senior Unity Game Developer,Surat,370000.0,1 year(s)
Growth & Value Consultants Private Limited,Chartered Accountant (CA),"Chandigarh, Mohali",480000.0,1 year(s)
Mr n Mrs Pet,Lawyer,Jaipur,200000.0,1 year(s)
Happiness Plans,General Management Executive,Indore,200000.0,0 year(s)
Fab Impressions Architects & Interior Designers,ARCHITECT/INTERIOR DESIGNER,Jaipur,200000.0,1 year(s)
Elora Fashion,Social Media Marketing Executive,Surat,200000.0,1 year(s)
Akaaro,Legal Manager,Pune,360000.0,1 year(s)
Credit Samadhaan,Telecaller,Indore,400000.0,0 year(s)
SR INTERIOR DESIGNS PRIVATE LIMITED,Human Resources (HR) Executive,Ahmedabad,216000.0,1 year(s)
Freecharge Payments Technology Private Limited,Assistant Manager Microfinance Field Sales,Nandyal,450000.0,0 year(s)
Happiness Plans,Finance Executive,Indore,200000.0,0 year(s)
Reflex Realty LLP,Legal Associate,Mumbai,200000.0,1 year(s)
Unbend Martech Private Limited,Front Desk Receptionist,Pimpri-Chinchwad,200000.0,1 year(s)
GIGL Summaries,Human Resources (HR) Executive,"Chandigarh, Mohali",250000.0,1 year(s)
ONE XL INFO LLP,Video Team Manager,Pune,600000.0,1 year(s)
MBAGATE,Content Writer,Lucknow,200000.0,1 year(s)
Registration Arena,Company Secretary (CS),Pimpri-Chinchwad,200000.0,0 year(s)
Aikyam Fellows,Junior Operations Associate,Kochi,200000.0,0 year(s)
ONE XL INFO LLP,UI/UX Designer,Pune,300000.0,1 year(s)
ONE XL INFO LLP,Web Developer,Pune,300000.0,1 year(s)
Motoflux Automotive Solutions Private Limited (Car101),Digital Marketing Manager,Pune,224000.0,1 year(s)
ONE XL INFO LLP,Node.js Developer,Pune,300000.0,1 year(s)
CACR,Field Officer (Gender Sensitisation),"Mumbai, Palghar, Raigad",360000.0,1 year(s)
ONE XL INFO LLP,Testing Lead/Manager,"Pune, Thergaon",350000.0,1 year(s)
ONE XL INFO LLP,React Developer,Pune,300000.0,1 year(s)
ONE XL INFO LLP,WordPress Developer,Pune,300000.0,1 year(s)
Agha Caravan International,Client Acquisition Executive,Mumbai,250000.0,1 year(s)
E Publication Services Pvt Ltd,Client Relationship Executive,Panchkula,200000.0,0 year(s)
Bluestone Travels,Junior Social Media Marketing Specialist,Ahmedabad,240000.0,0 year(s)
Kathanika Media,Associate Video Editor,Hyderabad,200000.0,1 year(s)
Rudra Associates,Chartered Accountant (CA),Surat,400000.0,1 year(s)
Axiom Gen Nxt India Private Limited,Senior Web Developer,Bangalore,500000.0,1 year(s)
Manufacture Design (OPC) Private Limited,Accountant,Pune,205000.0,1 year(s)
Intesome,2D Animator,Work from home,200000.0,0 year(s)
Intesome,After Effects & 2D Animator,Work from home,200000.0,0 year(s)
ONE XL INFO LLP,UI/UX Developer,Pune,300000.0,1 year(s)
Intesome,Adobe After Effects Design/Animator,Work from home,200000.0,0 year(s)
Intesome,Motion Graphics Designer & 2D Animator,Work from home,200000.0,0 year(s)
Rarity Marble Private Limited,Corporate Sales Executive,Ranchi,200000.0,0 year(s)
Buddha Education Association Incorporation,Digital Marketing Associate,Pune,200000.0,0 year(s)
Cosmosphere International Pvt Ltd,Business Development Executive - Sales,"Kolkata, Bihar, Jharkhand",280000.0,1 year(s)
WhizJuniors,Relationship Manager,Mumbai,200000.0,1 year(s)
Saroj Education Group,Faculty In Engineering(B.Tech Or M.Tech Candidates Only),Lucknow,200000.0,0 year(s)
Pakhopeasy Self-learning Solutions Pvt. Ltd.,Field Sales And Marketing,Mumbai,200000.0,1 year(s)
Adwallz Outdoor Advertising Private Limited,Operations Associate,Mumbai,240000.0,1 year(s)
Kokan Kala Va Shikshan Vikas Sanstha,Project Coordinator,Mumbai,200000.0,1 year(s)
Agha Caravan International,Junior Interior Designer,Mumbai,200000.0,1 year(s)
Aashni + Co,Fashion Coordinator,Mumbai,242000.0,1 year(s)
